Price,Close,High,Low,Open,Volume
Ticker,ISAC.L,ISAC.L,ISAC.L,ISAC.L,ISAC.L
Date,,,,,
2025-01-02,88.93000030517578,89.38999938964844,88.01000213623047,89.0999984741211,181517
2025-01-03,89.20999908447266,89.20999908447266,88.6500015258789,88.80000305175781,38649
2025-01-06,90.56999969482422,90.61000061035156,89.5199966430664,89.5999984741211,735924
2025-01-07,89.69999694824219,90.44999694824219,89.47000122070312,90.12000274658203,173496
2025-01-08,89.08000183105469,89.55000305175781,88.72000122070312,89.36000061035156,1273688
2025-01-09,89.02999877929688,89.23999786376953,88.69999694824219,88.80999755859375,60522
2025-01-10,87.66999816894531,89.1500015258789,87.66999816894531,88.91999816894531,100572
2025-01-13,87.31999969482422,87.5199966430664,86.91999816894531,87.41999816894531,185175
2025-01-14,87.94000244140625,88.54000091552734,87.75,88.23999786376953,273096
2025-01-15,89.1500015258789,89.58000183105469,88.12999725341797,88.16999816894531,122628
2025-01-16,89.70999908447266,90.1500015258789,89.41000366210938,90.04000091552734,106556
2025-01-17,90.38999938964844,90.51000213623047,89.68993377685547,89.69000244140625,144716
2025-01-20,90.98999786376953,91.29000091552734,90.19999694824219,90.5,92145
2025-01-21,91.08999633789062,91.08999633789062,90.61000061035156,90.69999694824219,238054
2025-01-22,91.83000183105469,91.83000183105469,91.41999816894531,91.47000122070312,102394
2025-01-23,91.88999938964844,91.94000244140625,91.47000122070312,91.61000061035156,291824
2025-01-24,92.45999908447266,92.4800033569336,92.20999908447266,92.30999755859375,305285
2025-01-27,90.80999755859375,91.16000366210938,89.91999816894531,90.76000213623047,160816
2025-01-28,91.41000366210938,91.55999755859375,90.81999969482422,91.0999984741211,351449
2025-01-29,91.61000061035156,91.97000122070312,91.5,91.9000015258789,157553
2025-01-30,91.94000244140625,92.22000122070312,91.5,91.87999725341797,141969
2025-01-31,92.58999633789062,92.64759826660156,92.31999969482422,92.44000244140625,206642
2025-02-03,91.0199966430664,91.25,89.77999877929688,89.83999633789062,374179
2025-02-04,91.61000061035156,91.72000122070312,90.55709838867188,90.94999694824219,165105
2025-02-05,91.80000305175781,91.97989654541016,91.22000122070312,91.36000061035156,97232
2025-02-06,92.37999725341797,92.44000244140625,92.11000061035156,92.19999694824219,128808
2025-02-07,91.88999938964844,92.72000122070312,91.80000305175781,92.47000122070312,198348
2025-02-10,92.08999633789062,92.36000061035156,91.9000015258789,91.91000366210938,293903
2025-02-11,92.31999969482422,92.37000274658203,91.84999084472656,91.8499984741211,127309
2025-02-12,91.86000061035156,92.48999786376953,91.4000015258789,92.41000366210938,352639
2025-02-13,92.97000122070312,93.04000091552734,92.13999938964844,92.45999908447266,292701
2025-02-14,93.41000366210938,94.04000091552734,93.25,93.44000244140625,151353
2025-02-17,93.72000122070312,93.7300033569336,93.41999816894531,93.51000213623047,134197
2025-02-18,93.61000061035156,93.87000274658203,93.5,93.86000061035156,167392
2025-02-19,93.41000366210938,93.8499984741211,93.25,93.79000091552734,129370
2025-02-20,93.11000061035156,93.72000122070312,93.05699920654297,93.45999908447266,73621
2025-02-21,93.19000244140625,93.66000366210938,92.74909973144531,93.56999969482422,500102
2025-02-24,92.16999816894531,92.73999786376953,91.63999938964844,92.61000061035156,151877
2025-02-25,91.11000061035156,92.08999633789062,91.06999969482422,91.58999633789062,435063
2025-02-26,92.38999938964844,92.4800033569336,91.83999633789062,91.94999694824219,109904
2025-02-27,91.61000061035156,92.27999877929688,91.01000213623047,92.0,142764
2025-02-28,90.4800033569336,90.68000030517578,89.9000015258789,90.16999816894531,59325
2025-03-03,91.47000122070312,92.08000183105469,91.18000030517578,91.4000015258789,269244
2025-03-04,88.87000274658203,90.54000091552734,88.5,90.37000274658203,162710
2025-03-05,89.66999816894531,90.70999908447266,89.66999816894531,90.27999877929688,335871
2025-03-06,90.61000061035156,90.81999969482422,89.87999725341797,90.69999694824219,316865
2025-03-07,89.08000183105469,91.22000122070312,89.04000091552734,89.93000030517578,197169
2025-03-10,88.38999938964844,89.69999694824219,88.0999984741211,89.62000274658203,189656
2025-03-11,87.33999633789062,88.41000366210938,87.0,88.18000030517578,206195
2025-03-12,88.16000366210938,88.81999969482422,87.1500015258789,87.66000366210938,592222
2025-03-13,87.19999694824219,87.98999786376953,87.0094985961914,87.38999938964844,685381
2025-03-14,88.33000183105469,88.55370330810547,87.26000213623047,87.31999969482422,314268
2025-03-17,89.1500015258789,89.23999786376953,88.22000122070312,88.25,346405
2025-03-18,88.93000030517578,89.63999938964844,88.52999877929688,89.38999938964844,113982
2025-03-19,89.33000183105469,94.26000213623047,88.70999908447266,88.70999908447266,137318
2025-03-20,89.23999786376953,89.8499984741211,88.69999694824219,89.70999908447266,129433
2025-03-21,88.81999969482422,89.08000183105469,88.22000122070312,88.97000122070312,449035
2025-03-24,90.08000183105469,90.1904525756836,89.62999725341797,89.62999725341797,146886
2025-03-25,90.33000183105469,90.56999969482422,89.93000030517578,90.02999877929688,104182
2025-03-26,89.72000122070312,90.47000122070312,89.61000061035156,90.4000015258789,191371
2025-03-27,89.51000213623047,89.73999786376953,88.97000122070312,89.37999725341797,182955
2025-03-28,87.83000183105469,89.02999877929688,87.77999877929688,88.8499984741211,447878
2025-03-31,87.0,87.20149993896484,86.23999786376953,86.98999786376953,150380
2025-04-01,88.13999938964844,88.29000091552734,87.19999694824219,87.76000213623047,337636
